Sat Apr  8 09:28:08 2023    performance/output.dat

         69375377 function calls (69262752 primitive calls) in 78.555 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19197    0.015    0.000    0.055    0.000 /cr/users/filip/anaconda3/lib/python3.9/re.py:188(match)
    39951    0.015    0.000    0.025    0.000 /cr/users/filip/anaconda3/lib/python3.9/logging/__init__.py:1424(debug)
  286/178    0.015    0.000    1.058    0.006 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:830(reset_ticks)
    52284    0.015    0.000    0.015    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     2202    0.014    0.000    0.309    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:469(_fnt_def_real)
    13966    0.014    0.000    0.050    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:81(_stale_axes_callback)
     1602    0.014    0.000    0.249    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:115(__init__)
     6946    0.014    0.000    0.027    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:872(get_siblings)
     3767    0.014    0.000    0.074    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:275(_get_layout_cache_key)
     1000    0.014    0.000    0.084    0.000 /cr/users/filip/Binaries/__config__.py:137(progress_bar)
     1887    0.014    0.000    0.122    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/texmanager.py:161(get_basefile)
     8230    0.013    0.000    0.046    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/markers.py:237(_recache)
3016/3015    0.013    0.000    0.015    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:392(bounds)
    15100    0.013    0.000    0.047    0.000 /cr/users/filip/anaconda3/lib/python3.9/contextlib.py:261(helper)
     1350    0.013    0.000    0.033    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:506(anchored)
     7168    0.013    0.000    0.020    0.000 /cr/users/filip/anaconda3/lib/python3.9/posixpath.py:71(join)
     2174    0.012    0.000    0.268    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/patches.py:747(get_patch_transform)
15100/14165    0.012    0.000    0.130    0.000 /cr/users/filip/anaconda3/lib/python3.9/contextlib.py:114(__enter__)
     1816    0.012    0.000    0.012    0.000 {built-in method builtins.round}
2924/1948    0.012    0.000    0.392    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/spines.py:330(get_spine_transform)
    10988    0.012    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:170(invalidate)
     3710    0.012    0.000    0.157    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1480(transform)
     1913    0.012    0.000    0.012    0.000 {method 'close' of '_io.BufferedReader' objects}
      812    0.012    0.000    0.015    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2839(nonsingular)
     3651    0.012    0.000    0.110    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:125(_clip)
    16390    0.012    0.000    0.017    0.000 /cr/users/filip/anaconda3/lib/python3.9/enum.py:358(__call__)
     6540    0.012    0.000    0.288    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:1159(set)
     4938    0.012    0.000    0.012    0.000 {built-in method builtins.sorted}
     8612    0.012    0.000    0.012    0.000 {built-in method _codecs.utf_8_decode}
     1932    0.012    0.000    0.012    0.000 {method 'round' of 'numpy.ndarray' objects}
     9606    0.012    0.000    0.045    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/colors.py:152(to_rgba)
     5499    0.011    0.000    0.025    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:366(_put_char_real)
     8612    0.011    0.000    0.023    0.000 /cr/users/filip/anaconda3/lib/python3.9/codecs.py:319(decode)
    13481    0.011    0.000    0.050    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/colors.py:106(_is_nth_color)
     2202    0.011    0.000    0.135    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:552(__init__)
      648    0.011    0.000    0.036    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:714(_compute_offset)
     2238    0.011    0.000    0.011    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2919(_interval_contains_close)
     6078    0.011    0.000    0.016    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:862(set_size)
     2207    0.011    0.000    0.017    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2057(scale)
      776    0.011    0.000    0.042    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:593(count_contains)
    65714    0.011    0.000    0.011    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:266(axes)
     5065    0.011    0.000    0.011    0.000 {built-in method matplotlib._path.affine_transform}
     6113    0.011    0.000    0.041    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:826(get_unitless_position)
